Building Name,Distance from ITE
Public Policy,0.462861757
Engineering,0.077113017
Information Technology,0
Sondheim Hall,0.133467201
Meyerhoff Hall,0.151755807
Sherman Hall,0.09803178
Biological Sciences,0.203221019
Interdisciplinary Life S,0.290032766
Mathematics & Psychology,0.157952157
